81 200
200.000000 200.000000 50
400.000000 200.000000 50
600.000000 200.000000 50
800.000000 200.000000 50
1000.000000 200.000000 50
1200.000000 200.000000 50
1400.000000 200.000000 50
1600.000000 200.000000 50
1800.000000 200.000000 50
200.000000 400.000000 50
400.000000 400.000000 50
600.000000 400.000000 50
800.000000 400.000000 50
1000.000000 400.000000 50
1200.000000 400.000000 50
1400.000000 400.000000 50
1600.000000 400.000000 50
1800.000000 400.000000 50
200.000000 600.000000 50
400.000000 600.000000 50
600.000000 600.000000 50
800.000000 600.000000 50
1000.000000 600.000000 50
1200.000000 600.000000 50
1400.000000 600.000000 50
1600.000000 600.000000 50
1800.000000 600.000000 50
200.000000 800.000000 50
400.000000 800.000000 50
600.000000 800.000000 50
800.000000 800.000000 50
1000.000000 800.000000 50
1200.000000 800.000000 50
1400.000000 800.000000 50
1600.000000 800.000000 50
1800.000000 800.000000 50
200.000000 1000.000000 50
400.000000 1000.000000 50
600.000000 1000.000000 50
800.000000 1000.000000 50
1000.000000 1000.000000 50
1200.000000 1000.000000 50
1400.000000 1000.000000 50
1600.000000 1000.000000 50
1800.000000 1000.000000 50
200.000000 1200.000000 50
400.000000 1200.000000 50
600.000000 1200.000000 50
800.000000 1200.000000 50
1000.000000 1200.000000 50
1200.000000 1200.000000 50
1400.000000 1200.000000 50
1600.000000 1200.000000 50
1800.000000 1200.000000 50
200.000000 1400.000000 50
400.000000 1400.000000 50
600.000000 1400.000000 50
800.000000 1400.000000 50
1000.000000 1400.000000 50
1200.000000 1400.000000 50
1400.000000 1400.000000 50
1600.000000 1400.000000 50
1800.000000 1400.000000 50
200.000000 1600.000000 50
400.000000 1600.000000 50
600.000000 1600.000000 50
800.000000 1600.000000 50
1000.000000 1600.000000 50
1200.000000 1600.000000 50
1400.000000 1600.000000 50
1600.000000 1600.000000 50
1800.000000 1600.000000 50
200.000000 1800.000000 50
400.000000 1800.000000 50
600.000000 1800.000000 50
800.000000 1800.000000 50
1000.000000 1800.000000 50
1200.000000 1800.000000 50
1400.000000 1800.000000 50
1600.000000 1800.000000 50
1800.000000 1800.000000 50
885.000000 1162.000000 3
423.000000 1473.000000 4
1273.000000 579.000000 4
1958.000000 930.000000 2
210.000000 677.000000 1
1212.000000 1904.000000 4
946.000000 548.000000 2
514.000000 783.000000 2
6.000000 129.000000 4
494.000000 865.000000 2
1417.000000 1913.000000 4
109.000000 619.000000 4
249.000000 1995.000000 4
901.000000 1708.000000 3
921.000000 283.000000 1
11.000000 653.000000 3
1523.000000 1847.000000 2
1360.000000 925.000000 3
1123.000000 1947.000000 2
1709.000000 636.000000 3
994.000000 1734.000000 2
1468.000000 1800.000000 3
968.000000 412.000000 3
1932.000000 1891.000000 4
349.000000 1195.000000 1
358.000000 1777.000000 4
1763.000000 129.000000 1
30.000000 1802.000000 2
447.000000 761.000000 1
1765.000000 419.000000 2
79.000000 299.000000 2
1163.000000 1912.000000 4
1342.000000 1809.000000 2
1439.000000 972.000000 2
1357.000000 344.000000 1
1955.000000 560.000000 1
261.000000 117.000000 3
1260.000000 1856.000000 4
1448.000000 1295.000000 4
1208.000000 467.000000 4
735.000000 250.000000 1
777.000000 975.000000 1
855.000000 197.000000 4
913.000000 20.000000 4
1060.000000 894.000000 4
601.000000 24.000000 2
1463.000000 954.000000 1
1867.000000 1017.000000 1
1690.000000 966.000000 4
1109.000000 1775.000000 4
207.000000 45.000000 2
1884.000000 260.000000 2
707.000000 1885.000000 2
88.000000 1983.000000 1
1553.000000 596.000000 3
1018.000000 1953.000000 1
381.000000 538.000000 3
1907.000000 87.000000 3
674.000000 1548.000000 4
1342.000000 1302.000000 4
1382.000000 146.000000 2
322.000000 1640.000000 1
185.000000 1031.000000 1
28.000000 864.000000 1
568.000000 277.000000 4
591.000000 1425.000000 3
506.000000 722.000000 1
1245.000000 434.000000 4
1107.000000 1794.000000 1
336.000000 808.000000 4
282.000000 762.000000 2
102.000000 70.000000 2
933.000000 1453.000000 3
1889.000000 794.000000 4
1447.000000 1791.000000 3
405.000000 175.000000 3
1970.000000 1120.000000 4
370.000000 1524.000000 4
218.000000 1939.000000 1
913.000000 1830.000000 4
795.000000 342.000000 4
498.000000 104.000000 3
509.000000 112.000000 1
1007.000000 967.000000 2
658.000000 1748.000000 4
1357.000000 1597.000000 3
683.000000 1031.000000 3
430.000000 689.000000 2
283.000000 1622.000000 2
1901.000000 54.000000 3
1781.000000 532.000000 1
1332.000000 1578.000000 3
752.000000 693.000000 2
797.000000 41.000000 3
1855.000000 1448.000000 1
135.000000 807.000000 2
1160.000000 1790.000000 1
938.000000 729.000000 3
1257.000000 1877.000000 2
629.000000 1510.000000 3
494.000000 442.000000 2
1240.000000 1769.000000 1
1940.000000 980.000000 3
757.000000 1813.000000 3
773.000000 1238.000000 4
1426.000000 1911.000000 2
1639.000000 1576.000000 4
1357.000000 283.000000 1
1836.000000 1925.000000 1
402.000000 1378.000000 3
1061.000000 1519.000000 1
905.000000 477.000000 4
997.000000 621.000000 4
448.000000 183.000000 1
1584.000000 1878.000000 2
219.000000 143.000000 4
1966.000000 1990.000000 2
836.000000 357.000000 3
305.000000 1291.000000 1
1586.000000 1620.000000 1
602.000000 1310.000000 1
1800.000000 1280.000000 1
1607.000000 1886.000000 1
323.000000 65.000000 4
1923.000000 959.000000 3
1931.000000 1230.000000 2
1032.000000 1689.000000 1
1405.000000 1675.000000 4
1542.000000 1324.000000 2
1712.000000 197.000000 2
27.000000 1081.000000 4
1458.000000 1981.000000 3
1528.000000 649.000000 4
1593.000000 1682.000000 4
853.000000 1416.000000 2
929.000000 1016.000000 2
383.000000 500.000000 4
1764.000000 674.000000 2
1795.000000 699.000000 3
1288.000000 211.000000 3
385.000000 675.000000 2
10.000000 48.000000 1
1651.000000 931.000000 3
707.000000 905.000000 4
1552.000000 1547.000000 4
917.000000 3.000000 4
130.000000 440.000000 4
1172.000000 786.000000 4
168.000000 884.000000 1
55.000000 1867.000000 3
1294.000000 818.000000 1
1314.000000 1865.000000 4
1889.000000 1668.000000 2
695.000000 981.000000 4
1904.000000 679.000000 4
