20200 200
1122.000000 168.000000 50
834.432870 577.029517 50
1116.567130 667.970483 50
829.962546 -237.849881 50
1178.037454 664.849881 50
1214.078274 659.448463 50
1449.921726 -209.448463 50
1199.582306 -325.944314 50
754.417694 506.944314 50
829.376517 573.427549 50
1448.623483 546.572451 50
823.452603 569.085342 50
1620.547397 129.914658 50
623.954882 123.829190 50
1506.045118 488.170810 50
1196.579812 662.406565 50
1612.420188 70.593435 50
707.994931 -112.356563 50
801.005069 551.356563 50
1511.745171 481.207123 50
1305.254829 -297.207123 50
688.056114 -80.380160 50
1061.943886 664.380160 50
628.960469 84.861434 50
808.039531 557.138566 50
1497.104566 498.600310 50
1450.895434 -208.600310 50
1462.933710 533.737892 50
1535.066290 -113.737892 50
725.638855 -136.791474 50
1269.361145 645.791474 50
1030.183740 659.497481 50
1593.816260  2.502519 50
865.431802 597.153539 50
1459.568198 536.846461 50
1589.919250 344.214572 50
1492.080750 -168.214572 50
643.717716 22.239727 50
841.282284 581.760273 50
796.323831 547.387708 50
1338.676169 618.612292 50
680.290895 402.292693 50
1606.709105 290.707307 50
706.039836 445.447548 50
712.960164 455.552452 50
691.509798 -86.319063 50
721.490202 467.319063 50
1133.814565 667.860397 50
1581.185435 -29.860397 50
1438.947936 554.709200 50
1421.052064 -232.709200 50
1362.214762 606.516668 50
1336.785238 -283.516668 50
622.060084 175.751184 50
806.939916 556.248816 50
1224.069720 657.470911 50
1539.930280 -106.470911 50
624.466148 118.400946 50
1422.533852 567.599054 50
803.545787 -217.469732 50
1041.454213 661.469732 50
1170.575642 665.634813 50
1401.424358 -246.634813 50
1062.333016 664.427085 50
1477.666984 -183.427085 50
629.268088 83.057299 50
1357.731912 608.942701 50
744.351921 495.691819 50
1182.648079 664.308181 50
1159.501543 666.591651 50
1398.498457 -248.591651 50
627.029222 97.261545 50
1359.970778 607.738455 50
1179.810089 664.646749 50
1485.189911 -175.646749 50
1314.880108 629.299538 50
1499.119892 -160.299538 50
1340.506795 617.727451 50
1105.493205 -331.727451 50
624.423554 217.169909 50
1275.576446 643.830091 50
855.080247 590.792911 50
1369.919753 602.207089 50
1055.458157 663.552402 50
1590.541843 -6.552402 50
896.893044 614.460366 50
1616.106956 244.539634 50
743.458345 -158.659173 50
1103.541655 667.659173 50
624.028185 123.010317 50
1417.971815 570.989683 50
841.538532 581.934010 50
1578.461468 372.065990 50
668.587742 -42.754181 50
643.412258 312.754181 50
1057.080981 663.767608 50
1510.919019 482.232392 50
657.903519 -18.049607 50
797.096481 548.049607 50
1416.483415 572.078604 50
1566.516585 396.921396 50
1359.827707 607.815850 50
1583.172293 361.184150 50
624.552721 117.540067 50
681.447279 404.459933 50
934.463248 631.497537 50
1501.536752 493.502463 50
1008.096350 -318.853118 50
1003.903650 653.853118 50
922.840597 -290.623519 50
925.159403 627.623519 50
622.875348 197.573327 50
642.124652 308.426673 50
855.519801 -255.070093 50
1152.480199 667.070093 50
1543.002773 437.734435 50
1424.997227 -229.734435 50
622.002221 169.490319 50
1611.997779 267.509681 50
1093.939496 667.211987 50
1252.060504 650.788013 50
1008.385705 654.920725 50
1617.614295 234.079275 50
1183.682345 664.180701 50
1340.317655 617.819299 50
1438.068043 555.428693 50
1619.931957 122.571307 50
1481.016684 516.004340 50
1481.983316 -179.004340 50
1448.388495 546.775065 50
1587.611505 350.224935 50
1434.055733 558.667659 50
1525.944267 -126.667659 50
888.098360 -273.916308 50
1154.901640 666.916308 50
657.573938 -17.225358 50
1250.426062 651.225358 50
927.765522 628.730906 50
1040.234478 661.269094 50
937.688456 632.789473 50
1554.311544 419.210527 50
827.769418 572.262742 50
1616.230582 243.737258 50
623.811909 210.527939 50
1533.188091 452.472061 50
1375.475792 598.987265 50
1247.524208 -315.987265 50
1296.151955 -300.690833 50
797.848045 548.690833 50
1190.995541 663.216736 50
1503.004459 491.783264 50
750.696104 -166.863280 50
1088.303896 666.863280 50
627.751439 243.619837 50
1302.248561 634.380163 50
948.255066 636.841869 50
1386.744934 592.158131 50
622.041783 174.463812 50
1489.958217 506.536188 50
812.000488 560.301291 50
1621.999512 168.698709 50
625.694186 107.332555 50
853.305814 589.667445 50
847.146273 585.678619 50
1321.853727 626.321381 50
680.497709 402.682183 50
1589.502291 345.317817 50
1562.203900 -69.108680 50
660.796100 361.108680 50
926.660395 628.263445 50
1441.339605 552.736555 50
753.333589 -169.764826 50
1106.666411 667.764826 50
840.533199 581.251062 50
1563.466801 402.748938 50
775.228957 -192.208056 50
1307.771043 632.208056 50
733.344529 482.558302 50
1621.655471 149.441698 50
715.619377 -123.298454 50
642.380623 309.298454 50
1067.851485 665.059291 50
1618.148515 229.940709 50
1486.316447 510.452225 50
1374.683553 -263.452225 50
1293.392718 637.706862 50
1620.607282 205.293138 50
622.015411 164.074328 50
1353.984589 610.925672 50
782.675377 535.231263 50
1611.324623 270.768737 50
829.000000 1077.000000 50
1143.001252 687.894342 50
571.998748 648.105658 50
470.091165 728.884432 50
444.908835 1397.115568 50
1041.791662 1529.459621 50
1325.208338 1015.540379 50
1159.734729 1451.986052 50
825.265271 577.013948 50
332.432817 1135.489597 50
1310.567183 1211.510403 50
1326.877305 1030.976211 50
824.122695 577.023789 50
1280.876579 862.972998 50
556.123421 658.027002 50
868.961937 1575.400485 50
1314.038063 955.599515 50
1268.539205 838.661403 50
1247.460795 803.338597 50
780.600695 579.348006 50
435.399305 768.651994 50
1074.346073 641.333494 50
382.653927 851.666506 50
563.042620 1500.398951 50
1263.957380 1323.601049 50
804.145462 577.618130 50
339.854538 973.381870 50
1188.173089 729.157087 50
513.826911 688.842913 50
378.477218 860.137779 50
1077.522782 1510.862221 50
1314.514256 957.518172 50
1016.485744 613.481828 50
1146.989780 1462.852951 50
885.010220 580.147049 50
750.341084 1570.774012 50
1266.658916 835.225988 50
720.302533 1565.041864 50
1292.697467 889.958136 50
842.652368 577.186422 50
349.347632 935.813578 50
652.794595 1544.922702 50
1263.205405 829.077298 50
1114.265720 1487.637880 50
727.734280 587.362120 50
1322.941395 999.399110 50
671.058605 602.600890 50
773.060439 580.139088 50
352.939561 1229.860912 50
652.394735 1544.771932 50
1224.605265 771.228068 50
648.485081 1543.277132 50
1320.514919 1168.722868 50
1279.041019 859.139767 50
1142.958981 687.860233 50
1124.261080 1480.510712 50
1327.738920 1112.489288 50
806.817925 577.492287 50
329.182075 1063.507713 50
1072.726160 1513.574804 50
1298.273840 904.425196 50
1141.145092 1467.596264 50
1267.854908 837.403736 50
349.848740 1219.877817 50
891.151260 1573.122183 50
1282.854322 867.199490 50
471.145678 727.800510 50
329.032770 1082.724399 50
1155.967230 1455.275601 50
1068.056487 637.850827 50
483.943513 715.149173 50
545.153441 1488.620129 50
1155.846559 1455.379871 50
1227.804827 775.413015 50
1019.195173 614.586985 50
1262.322449 827.537266 50
431.677551 773.462734 50
482.122439 1437.105481 50
999.877561 1546.894519 50
1296.306351 899.166442 50
337.693649 1169.833558 50
608.015210 1525.515019 50
1268.984790 839.484981 50
1151.948428 1458.712343 50
1325.051572 1014.287657 50
366.807650 1267.730783 50
1313.192350 952.269217 50
654.245031 608.533672 50
329.754969 1104.466328 50
926.886063 1567.324707 50
1264.113937 830.675293 50
818.115392 577.118489 50
612.884608 1527.881511 50
714.112556 1563.621902 50
1297.887444 903.378098 50
754.577205 582.569775 50
481.422795 1436.430225 50
1266.516156 834.967744 50
427.483844 779.032256 50
830.114828 577.001243 50
519.885172 1469.998757 50
1226.188084 1380.713066 50
1328.811916 1063.286934 50
338.562794 979.679156 50
936.437206 1565.320844 50
332.790278 1015.551548 50
1159.209722 1452.448452 50
987.293683 1551.281678 50
1313.706317 1199.718322 50
360.473311 1251.593073 50
