133 200
150.000000 150.000000 50
300.000000 150.000000 50
450.000000 150.000000 50
600.000000 150.000000 50
750.000000 150.000000 50
900.000000 150.000000 50
1050.000000 150.000000 50
1200.000000 150.000000 50
1350.000000 150.000000 50
1500.000000 150.000000 50
1650.000000 150.000000 50
1800.000000 150.000000 50
150.000000 300.000000 50
300.000000 300.000000 50
450.000000 300.000000 50
600.000000 300.000000 50
750.000000 300.000000 50
900.000000 300.000000 50
1050.000000 300.000000 50
1200.000000 300.000000 50
1350.000000 300.000000 50
1500.000000 300.000000 50
1650.000000 300.000000 50
1800.000000 300.000000 50
150.000000 450.000000 50
300.000000 450.000000 50
450.000000 450.000000 50
600.000000 450.000000 50
750.000000 450.000000 50
900.000000 450.000000 50
1050.000000 450.000000 50
1200.000000 450.000000 50
1350.000000 450.000000 50
1500.000000 450.000000 50
1650.000000 450.000000 50
1800.000000 450.000000 50
150.000000 600.000000 50
300.000000 600.000000 50
450.000000 600.000000 50
600.000000 600.000000 50
750.000000 600.000000 50
900.000000 600.000000 50
1050.000000 600.000000 50
1200.000000 600.000000 50
1350.000000 600.000000 50
1500.000000 600.000000 50
1650.000000 600.000000 50
1800.000000 600.000000 50
150.000000 750.000000 50
300.000000 750.000000 50
450.000000 750.000000 50
600.000000 750.000000 50
750.000000 750.000000 50
900.000000 750.000000 50
1050.000000 750.000000 50
1200.000000 750.000000 50
1350.000000 750.000000 50
1500.000000 750.000000 50
1650.000000 750.000000 50
1800.000000 750.000000 50
150.000000 900.000000 50
300.000000 900.000000 50
450.000000 900.000000 50
600.000000 900.000000 50
750.000000 900.000000 50
900.000000 900.000000 50
1050.000000 900.000000 50
1200.000000 900.000000 50
1350.000000 900.000000 50
1500.000000 900.000000 50
1650.000000 900.000000 50
1800.000000 900.000000 50
150.000000 1050.000000 50
300.000000 1050.000000 50
450.000000 1050.000000 50
600.000000 1050.000000 50
750.000000 1050.000000 50
900.000000 1050.000000 50
1050.000000 1050.000000 50
1200.000000 1050.000000 50
1350.000000 1050.000000 50
1500.000000 1050.000000 50
1650.000000 1050.000000 50
1800.000000 1050.000000 50
150.000000 1200.000000 50
300.000000 1200.000000 50
450.000000 1200.000000 50
600.000000 1200.000000 50
750.000000 1200.000000 50
900.000000 1200.000000 50
1050.000000 1200.000000 50
1200.000000 1200.000000 50
1350.000000 1200.000000 50
1500.000000 1200.000000 50
1650.000000 1200.000000 50
1800.000000 1200.000000 50
150.000000 1350.000000 50
300.000000 1350.000000 50
450.000000 1350.000000 50
600.000000 1350.000000 50
750.000000 1350.000000 50
900.000000 1350.000000 50
1050.000000 1350.000000 50
1200.000000 1350.000000 50
1350.000000 1350.000000 50
1500.000000 1350.000000 50
1650.000000 1350.000000 50
1800.000000 1350.000000 50
150.000000 1500.000000 50
300.000000 1500.000000 50
450.000000 1500.000000 50
600.000000 1500.000000 50
750.000000 1500.000000 50
900.000000 1500.000000 50
1050.000000 1500.000000 50
1200.000000 1500.000000 50
1350.000000 1500.000000 50
1500.000000 1500.000000 50
1650.000000 1500.000000 50
1800.000000 1500.000000 50
150.000000 1650.000000 50
300.000000 1650.000000 50
450.000000 1650.000000 50
600.000000 1650.000000 50
750.000000 1650.000000 50
900.000000 1650.000000 50
1050.000000 1650.000000 50
1200.000000 1650.000000 50
1350.000000 1650.000000 50
1500.000000 1650.000000 50
1650.000000 1650.000000 50
1800.000000 1650.000000 50
1800.000000 1800.000000 50
1140.000000 1009.000000 1
1671.000000 1360.000000 3
1176.000000 1643.000000 2
450.000000 1635.000000 3
887.000000 591.000000 2
378.000000 1505.000000 4
1558.000000 525.000000 4
1629.000000 1180.000000 4
192.000000 1980.000000 3
803.000000 898.000000 4
479.000000 989.000000 1
1449.000000 603.000000 4
606.000000 820.000000 1
884.000000 1368.000000 2
1842.000000 689.000000 1
1911.000000 1989.000000 4
576.000000 1535.000000 2
668.000000 1661.000000 3
947.000000 486.000000 3
379.000000 744.000000 2
963.000000 234.000000 3
608.000000 1249.000000 2
915.000000 1166.000000 3
933.000000 1078.000000 1
810.000000 1888.000000 3
108.000000 266.000000 1
1364.000000 878.000000 1
567.000000 1282.000000 2
622.000000 817.000000 1
1287.000000 519.000000 3
1664.000000 1361.000000 3
1463.000000 1528.000000 4
1961.000000 55.000000 1
1474.000000 1920.000000 3
564.000000 244.000000 4
660.000000 1143.000000 4
329.000000 1625.000000 1
971.000000 1890.000000 3
573.000000 1123.000000 4
566.000000 77.000000 1
1639.000000 1827.000000 4
677.000000 545.000000 4
812.000000 1448.000000 1
1298.000000 1368.000000 4
1823.000000 629.000000 4
633.000000 1716.000000 4
1562.000000 210.000000 3
124.000000 353.000000 1
1082.000000 987.000000 4
1341.000000 866.000000 3
1233.000000 346.000000 1
614.000000 928.000000 1
749.000000 1667.000000 3
265.000000 46.000000 1
588.000000 1422.000000 1
1347.000000 1361.000000 1
1815.000000 1490.000000 2
791.000000 660.000000 4
1910.000000 1380.000000 4
1681.000000 675.000000 4
767.000000 1545.000000 4
1861.000000 756.000000 2
319.000000 77.000000 2
687.000000 1364.000000 2
1068.000000 409.000000 1
1139.000000 679.000000 4
975.000000 1558.000000 1
354.000000 450.000000 4
1874.000000 1696.000000 2
1798.000000 1953.000000 4
627.000000 894.000000 3
939.000000 1469.000000 1
638.000000 984.000000 2
554.000000 1835.000000 1
434.000000 1053.000000 3
1313.000000 424.000000 2
1685.000000 1581.000000 2
94.000000 1166.000000 1
1930.000000 750.000000 1
804.000000 1471.000000 2
253.000000 1958.000000 2
1549.000000 267.000000 2
1290.000000 1291.000000 4
1216.000000 457.000000 4
929.000000 1850.000000 1
1814.000000 1051.000000 2
536.000000 917.000000 3
1589.000000 341.000000 3
648.000000 411.000000 4
1274.000000 223.000000 3
1024.000000 349.000000 3
674.000000 1498.000000 1
959.000000 113.000000 3
338.000000 1195.000000 2
1527.000000 6.000000 1
489.000000 1276.000000 3
69.000000 1214.000000 3
1626.000000 1851.000000 4
93.000000 929.000000 3
1618.000000 419.000000 3
6.000000 1455.000000 1
380.000000 1716.000000 2
1866.000000 1617.000000 2
1361.000000 600.000000 4
806.000000 692.000000 3
818.000000 1676.000000 2
1609.000000 1698.000000 1
1458.000000 1735.000000 3
142.000000 775.000000 3
1458.000000 570.000000 1
1982.000000 1064.000000 4
1497.000000 895.000000 1
1929.000000 1869.000000 1
605.000000 1823.000000 2
0.000000 1582.000000 1
465.000000 107.000000 1
630.000000 443.000000 4
314.000000 290.000000 2
863.000000 94.000000 4
1428.000000 360.000000 4
154.000000 849.000000 4
496.000000 316.000000 4
1901.000000 582.000000 2
1287.000000 694.000000 4
422.000000 1937.000000 1
1091.000000 324.000000 1
737.000000 1721.000000 1
444.000000 1747.000000 2
1563.000000 248.000000 1
400.000000 1990.000000 3
525.000000 1813.000000 1
763.000000 1339.000000 2
1824.000000 21.000000 3
1594.000000 1152.000000 4
700.000000 1486.000000 4
208.000000 1934.000000 1
821.000000 1041.000000 2
1551.000000 252.000000 2
364.000000 243.000000 4
909.000000 1528.000000 1
917.000000 1468.000000 4
1946.000000 1153.000000 1
396.000000 1891.000000 2
49.000000 456.000000 3
310.000000 493.000000 1
843.000000 77.000000 3
478.000000 844.000000 4
1350.000000 1798.000000 4
1341.000000 1463.000000 3
711.000000 802.000000 3
1292.000000 1621.000000 3
763.000000 1724.000000 2
1831.000000 1224.000000 2
511.000000 119.000000 2
1888.000000 317.000000 2
1943.000000 400.000000 4
382.000000 1185.000000 2
1304.000000 580.000000 1
1392.000000 1860.000000 3
1302.000000 449.000000 3
346.000000 619.000000 4
621.000000 1147.000000 2
394.000000 1719.000000 2
1732.000000 80.000000 2
818.000000 151.000000 3
1559.000000 549.000000 1
1754.000000 247.000000 2
383.000000 546.000000 2
975.000000 37.000000 2
747.000000 525.000000 1
1367.000000 83.000000 1
287.000000 531.000000 1
1014.000000 1100.000000 3
1525.000000 979.000000 1
646.000000 906.000000 2
453.000000 1852.000000 4
1853.000000 579.000000 2
1077.000000 1857.000000 2
1150.000000 1859.000000 4
338.000000 212.000000 1
1925.000000 259.000000 3
749.000000 1731.000000 1
198.000000 875.000000 1
776.000000 583.000000 1
1629.000000 1340.000000 4
1348.000000 1512.000000 1
826.000000 661.000000 4
1979.000000 75.000000 1
231.000000 525.000000 2
777.000000 1763.000000 4
1562.000000 85.000000 1
34.000000 948.000000 1
1461.000000 719.000000 2
1982.000000 1022.000000 3
1517.000000 151.000000 3
190.000000 876.000000 2
1477.000000 1200.000000 2
1200.000000 1423.000000 1
1853.000000 164.000000 1
817.000000 1247.000000 1
