73 200
200.000000 200.000000 50
400.000000 200.000000 50
600.000000 200.000000 50
800.000000 200.000000 50
1000.000000 200.000000 50
1200.000000 200.000000 50
1400.000000 200.000000 50
1600.000000 200.000000 50
1800.000000 200.000000 50
200.000000 400.000000 50
400.000000 400.000000 50
600.000000 400.000000 50
800.000000 400.000000 50
1000.000000 400.000000 50
1200.000000 400.000000 50
1400.000000 400.000000 50
1600.000000 400.000000 50
1800.000000 400.000000 50
200.000000 600.000000 50
400.000000 600.000000 50
600.000000 600.000000 50
800.000000 600.000000 50
1000.000000 600.000000 50
1200.000000 600.000000 50
1400.000000 600.000000 50
1600.000000 600.000000 50
1800.000000 600.000000 50
200.000000 800.000000 50
400.000000 800.000000 50
600.000000 800.000000 50
800.000000 800.000000 50
1000.000000 800.000000 50
1200.000000 800.000000 50
1400.000000 800.000000 50
1600.000000 800.000000 50
1800.000000 800.000000 50
200.000000 1000.000000 50
400.000000 1000.000000 50
600.000000 1000.000000 50
800.000000 1000.000000 50
1000.000000 1000.000000 50
1200.000000 1000.000000 50
1400.000000 1000.000000 50
1600.000000 1000.000000 50
1800.000000 1000.000000 50
200.000000 1200.000000 50
400.000000 1200.000000 50
600.000000 1200.000000 50
800.000000 1200.000000 50
1000.000000 1200.000000 50
1200.000000 1200.000000 50
1400.000000 1200.000000 50
1600.000000 1200.000000 50
1800.000000 1200.000000 50
200.000000 1400.000000 50
400.000000 1400.000000 50
600.000000 1400.000000 50
800.000000 1400.000000 50
1000.000000 1400.000000 50
1200.000000 1400.000000 50
1400.000000 1400.000000 50
1600.000000 1400.000000 50
1800.000000 1400.000000 50
200.000000 1600.000000 50
400.000000 1600.000000 50
600.000000 1600.000000 50
800.000000 1600.000000 50
1000.000000 1600.000000 50
1200.000000 1600.000000 50
1400.000000 1600.000000 50
1600.000000 1600.000000 50
1800.000000 1600.000000 50
1800.000000 1800.000000 50
1077.000000 1374.000000 2
1149.000000 362.000000 4
771.000000 814.000000 4
161.000000 385.000000 4
1654.000000 1143.000000 1
316.000000 166.000000 3
918.000000 490.000000 1
1834.000000 712.000000 1
446.000000 1824.000000 2
1046.000000 49.000000 4
1067.000000 1107.000000 1
1086.000000 979.000000 1
1572.000000 323.000000 4
1810.000000 1407.000000 4
478.000000 1610.000000 3
427.000000 1910.000000 3
1267.000000 734.000000 1
374.000000 1362.000000 3
11.000000 1563.000000 1
1609.000000 360.000000 1
645.000000 761.000000 2
157.000000 804.000000 2
407.000000 1228.000000 1
709.000000 433.000000 2
1736.000000 233.000000 3
1740.000000 289.000000 3
1948.000000 1372.000000 3
1876.000000 406.000000 1
1186.000000 159.000000 4
696.000000 1617.000000 2
1026.000000 1478.000000 4
160.000000 324.000000 1
1973.000000 1382.000000 2
1520.000000 779.000000 3
618.000000 1005.000000 1
1995.000000 1515.000000 4
1944.000000 1175.000000 4
172.000000 1972.000000 1
274.000000 89.000000 2
475.000000 1175.000000 3
1219.000000 1280.000000 4
1752.000000 288.000000 2
148.000000 339.000000 3
422.000000 834.000000 1
491.000000 1127.000000 3
1920.000000 1012.000000 3
1107.000000 862.000000 1
469.000000 644.000000 3
557.000000 1868.000000 4
1122.000000 46.000000 4
1800.000000 1129.000000 1
1561.000000 992.000000 1
1762.000000 1132.000000 1
1922.000000 1591.000000 1
191.000000 1349.000000 3
1494.000000 1768.000000 2
1486.000000 713.000000 1
1147.000000 947.000000 1
1868.000000 1282.000000 2
1051.000000 1294.000000 1
1552.000000 1626.000000 2
451.000000 1301.000000 4
630.000000 617.000000 2
1169.000000 871.000000 3
356.000000 260.000000 2
1619.000000 962.000000 2
1901.000000 1208.000000 3
1554.000000 2.000000 2
66.000000 1849.000000 4
1018.000000 1891.000000 1
1583.000000 1623.000000 4
610.000000 1310.000000 2
1198.000000 862.000000 3
1054.000000 903.000000 1
1940.000000 1685.000000 3
1070.000000 1023.000000 3
474.000000 1093.000000 2
1162.000000 1075.000000 3
1026.000000 1658.000000 4
585.000000 1648.000000 2
1427.000000 1343.000000 3
291.000000 1420.000000 3
594.000000 935.000000 1
804.000000 1630.000000 1
797.000000 1590.000000 2
1108.000000 237.000000 3
669.000000 1711.000000 1
1800.000000 287.000000 2
1151.000000 304.000000 1
926.000000 1672.000000 2
198.000000 948.000000 1
560.000000 840.000000 3
370.000000 1049.000000 1
1720.000000 724.000000 3
1951.000000 942.000000 3
387.000000 1400.000000 1
1182.000000 93.000000 4
517.000000 1085.000000 1
692.000000 7.000000 3
592.000000 395.000000 3
137.000000 780.000000 3
1831.000000 919.000000 4
1461.000000 1991.000000 1
936.000000 933.000000 2
370.000000 1967.000000 2
1593.000000 492.000000 4
136.000000 775.000000 2
1425.000000 1435.000000 2
245.000000 545.000000 4
1016.000000 319.000000 2
489.000000 1888.000000 3
978.000000 1333.000000 3
791.000000 607.000000 3
1578.000000 452.000000 1
47.000000 347.000000 1
40.000000 1715.000000 2
430.000000 565.000000 2
1572.000000 248.000000 3
1850.000000 164.000000 4
766.000000 1320.000000 3
1105.000000 1495.000000 3
1259.000000 1405.000000 4
1572.000000 365.000000 1
791.000000 1160.000000 2
755.000000 1887.000000 2
1254.000000 311.000000 4
194.000000 773.000000 3
1742.000000 465.000000 2
1777.000000 861.000000 2
747.000000 182.000000 1
1497.000000 1103.000000 3
187.000000 1713.000000 2
436.000000 533.000000 2
786.000000 758.000000 2
672.000000 1306.000000 3
4.000000 1269.000000 1
1830.000000 977.000000 2
1839.000000 630.000000 3
1704.000000 1093.000000 2
480.000000 107.000000 4
1664.000000 30.000000 2
465.000000 1416.000000 3
440.000000 1594.000000 3
221.000000 262.000000 4
670.000000 309.000000 3
1726.000000 76.000000 2
905.000000 1122.000000 2
1717.000000 1316.000000 3
1160.000000 716.000000 1
1047.000000 682.000000 3
1941.000000 1120.000000 2
1235.000000 1942.000000 2
382.000000 959.000000 1
226.000000 54.000000 2
1294.000000 1943.000000 1
1289.000000 688.000000 2
976.000000 1150.000000 2
1061.000000 999.000000 3
1018.000000 1744.000000 2
1553.000000 1856.000000 3
1.000000 912.000000 4
1172.000000 1906.000000 2
1485.000000 1191.000000 4
