82 210
200.000000 200.000000 50
400.000000 200.000000 50
600.000000 200.000000 50
800.000000 200.000000 50
1000.000000 200.000000 50
1200.000000 200.000000 50
1400.000000 200.000000 50
1600.000000 200.000000 50
1800.000000 200.000000 50
200.000000 400.000000 50
400.000000 400.000000 50
600.000000 400.000000 50
800.000000 400.000000 50
1000.000000 400.000000 50
1200.000000 400.000000 50
1400.000000 400.000000 50
1600.000000 400.000000 50
1800.000000 400.000000 50
200.000000 600.000000 50
400.000000 600.000000 50
600.000000 600.000000 50
800.000000 600.000000 50
1000.000000 600.000000 50
1200.000000 600.000000 50
1400.000000 600.000000 50
1600.000000 600.000000 50
1800.000000 600.000000 50
200.000000 800.000000 50
400.000000 800.000000 50
600.000000 800.000000 50
800.000000 800.000000 50
1000.000000 800.000000 50
1200.000000 800.000000 50
1400.000000 800.000000 50
1600.000000 800.000000 50
1800.000000 800.000000 50
200.000000 1000.000000 50
400.000000 1000.000000 50
600.000000 1000.000000 50
800.000000 1000.000000 50
1000.000000 1000.000000 50
1200.000000 1000.000000 50
1400.000000 1000.000000 50
1600.000000 1000.000000 50
1800.000000 1000.000000 50
200.000000 1200.000000 50
400.000000 1200.000000 50
600.000000 1200.000000 50
800.000000 1200.000000 50
1000.000000 1200.000000 50
1200.000000 1200.000000 50
1400.000000 1200.000000 50
1600.000000 1200.000000 50
1800.000000 1200.000000 50
200.000000 1400.000000 50
400.000000 1400.000000 50
600.000000 1400.000000 50
800.000000 1400.000000 50
1000.000000 1400.000000 50
1200.000000 1400.000000 50
1400.000000 1400.000000 50
1600.000000 1400.000000 50
1800.000000 1400.000000 50
200.000000 1600.000000 50
400.000000 1600.000000 50
600.000000 1600.000000 50
800.000000 1600.000000 50
1000.000000 1600.000000 50
1200.000000 1600.000000 50
1400.000000 1600.000000 50
1600.000000 1600.000000 50
1800.000000 1600.000000 50
200.000000 1800.000000 50
400.000000 1800.000000 50
600.000000 1800.000000 50
800.000000 1800.000000 50
1000.000000 1800.000000 50
1200.000000 1800.000000 50
1400.000000 1800.000000 50
1600.000000 1800.000000 50
1800.000000 1800.000000 50
1800.000000 1800.000000 50
142.000000 339.000000 3
468.000000 341.000000 3
122.000000 469.000000 3
89.000000 112.000000 3
310.000000 100.000000 2
646.000000 378.000000 4
768.000000 776.000000 4
475.000000 177.000000 1
346.000000 704.000000 1
356.000000 175.000000 1
723.000000 553.000000 2
536.000000 671.000000 4
736.000000 238.000000 4
435.000000 574.000000 1
500.000000 767.000000 3
256.000000 460.000000 4
31.000000 199.000000 3
534.000000 652.000000 4
598.000000 357.000000 2
193.000000 466.000000 4
17.000000 158.000000 1
374.000000 752.000000 2
626.000000 309.000000 3
324.000000 619.000000 4
792.000000 201.000000 3
358.000000 707.000000 2
613.000000 42.000000 3
557.000000 441.000000 2
404.000000 118.000000 4
503.000000 130.000000 4
571.000000 639.000000 1
617.000000 42.000000 2
167.000000 797.000000 2
741.000000 707.000000 4
446.000000 15.000000 3
786.000000 477.000000 3
754.000000 473.000000 2
614.000000 250.000000 3
665.000000 613.000000 4
39.000000 485.000000 3
646.000000 742.000000 1
604.000000 129.000000 3
405.000000 475.000000 4
732.000000 623.000000 2
6.000000 622.000000 2
705.000000 524.000000 1
72.000000 493.000000 4
70.000000 742.000000 3
793.000000 425.000000 3
212.000000 145.000000 2
338.000000 695.000000 3
195.000000 398.000000 4
480.000000 311.000000 3
132.000000 51.000000 2
101.000000 268.000000 2
111.000000 437.000000 3
535.000000 277.000000 3
390.000000 663.000000 2
448.000000 102.000000 1
91.000000 643.000000 4
1211.000000 162.000000 4
1323.000000 179.000000 3
1668.000000 355.000000 2
1993.000000 386.000000 1
1290.000000 529.000000 4
1488.000000 369.000000 4
1591.000000 124.000000 3
1599.000000 259.000000 4
1336.000000 214.000000 2
1324.000000 142.000000 4
1620.000000 282.000000 4
1632.000000 306.000000 3
1989.000000 450.000000 4
1915.000000 673.000000 2
1255.000000 707.000000 4
1898.000000 613.000000 2
1401.000000 114.000000 2
1729.000000 394.000000 4
1747.000000 134.000000 2
1261.000000 95.000000 3
1705.000000 407.000000 2
1391.000000 423.000000 3
1496.000000 449.000000 3
1578.000000 128.000000 1
1635.000000 84.000000 4
1940.000000 747.000000 3
1913.000000 270.000000 4
1699.000000 798.000000 1
1832.000000 610.000000 4
1293.000000 123.000000 4
1592.000000 150.000000 4
1840.000000 325.000000 1
1218.000000 533.000000 3
1321.000000 384.000000 2
1683.000000 543.000000 3
1207.000000 511.000000 1
1595.000000 43.000000 3
1372.000000 544.000000 4
1377.000000 32.000000 4
1354.000000 588.000000 2
1438.000000 409.000000 2
1266.000000 287.000000 3
1319.000000 384.000000 2
1614.000000 543.000000 1
1958.000000 711.000000 3
1479.000000 27.000000 1
1251.000000 553.000000 3
1387.000000 56.000000 4
1891.000000 179.000000 4
1823.000000 419.000000 3
1956.000000 180.000000 4
1274.000000 521.000000 2
1601.000000 92.000000 2
1356.000000 170.000000 3
1921.000000 208.000000 3
1702.000000 51.000000 2
1905.000000 165.000000 3
1809.000000 407.000000 4
1428.000000 656.000000 3
1852.000000 610.000000 4
1771.000000 746.000000 2
1204.000000 573.000000 2
1858.000000 797.000000 4
1221.000000 544.000000 4
1517.000000 375.000000 2
1841.000000 659.000000 4
1223.000000 187.000000 4
1380.000000 570.000000 4
1851.000000 336.000000 4
1200.000000 229.000000 3
1314.000000 1645.000000 3
829.000000 1988.000000 1
772.000000 1808.000000 1
861.000000 1441.000000 1
1102.000000 1521.000000 1
886.000000 1542.000000 2
937.000000 1232.000000 4
1096.000000 1695.000000 4
670.000000 1419.000000 2
1154.000000 1655.000000 1
601.000000 1776.000000 3
703.000000 1303.000000 4
886.000000 1236.000000 1
1043.000000 1590.000000 1
1250.000000 1861.000000 2
1392.000000 1707.000000 2
1323.000000 1355.000000 2
606.000000 1989.000000 2
611.000000 1800.000000 3
1015.000000 1206.000000 2
1054.000000 1775.000000 4
797.000000 1588.000000 3
1103.000000 1558.000000 1
760.000000 1223.000000 1
1025.000000 1829.000000 1
628.000000 1320.000000 2
755.000000 1203.000000 1
