18478 200
602.000000 1768.000000 50
985.373147 1447.024876 50
264.626853 1398.975124 50
1083.252455 1903.632130 50
1100.747545 1803.367870 50
1098.259763 1829.042997 50
1089.740237 1657.957003 50
915.594414 2157.433619 50
551.405586 1270.566381 50
958.212286 2118.874347 50
889.787714 1359.125653 50
783.313121 1302.032671 50
148.686879 1978.967329 50
870.001884 2190.107794 50
954.998116 1413.892206 50
585.255527 1268.280456 50
144.744473 1565.719544 50
984.051631 1445.453024 50
299.948369 1369.546976 50
928.141188 2146.988028 50
1033.858812 1516.011972 50
704.119194 1278.539409 50
107.880806 1844.460591 50
442.212962 1294.219352 50
487.787038 2254.780648 50
502.369027 2257.973131 50
968.630973 1428.026869 50
1040.544713 1527.836442 50
132.455287 1596.163558 50
241.184248 1421.861309 50
392.815752 2222.138691 50
842.662143 2206.271301 50
494.337857 1279.728699 50
1021.152082 2040.601417 50
984.847918 1446.398583 50
270.407279 1393.772439 50
370.592721 2211.227561 50
1043.327529 1532.989336 50
394.672471 1313.010664 50
121.059840 1904.735372 50
1101.940160 1760.264628 50
896.045185 2172.397613 50
721.954815 1282.602387 50
223.187318 1441.655164 50
906.812682 2164.344836 50
606.402568 1268.019383 50
159.597432 2000.980617 50
1020.737090 1494.761552 50
523.262910 1274.238448 50
876.134510 1349.848986 50
103.865490 1811.151014 50
877.007825 1350.422826 50
295.992175 1372.577174 50
1072.195262 1938.048274 50
987.804738 1449.951726 50
745.381199 1288.999132 50
224.618801 1440.000868 50
1099.805655 1721.207588 50
121.194345 1630.792412 50
616.686695 1268.215746 50
103.313305 1731.784254 50
846.750916 1331.998866 50
227.249084 2099.001134 50
196.107081 1476.022367 50
656.892919 2264.977633 50
878.655028 1351.512311 50
194.344972 1478.487689 50
920.213895 2153.668144 50
583.786105 1268.331856 50
865.669119 2192.827725 50
986.330881 1448.172275 50
1072.222122 1598.026014 50
183.777878 1493.973986 50
1058.763861 1971.388239 50
339.236139 1342.611761 50
1072.635158 1936.826977 50
798.364842 1308.173023 50
760.480765 1293.780803 50
102.519235 1745.219197 50
1074.115893 1603.359228 50
386.884107 1316.640772 50
585.412425 1268.275223 50
205.587575 2072.724777 50
381.512731 1319.240193 50
281.487269 2151.759807 50
843.812164 1330.362162 50
328.187836 1349.637838 50
410.319186 1306.200838 50
336.680814 2191.799162 50
1089.342030 1879.793315 50
1079.657970 1620.206685 50
1050.004399 1545.981851 50
844.995601 1331.018149 50
594.551085 1268.055489 50
263.448915 2135.944511 50
1099.848716 1814.332022 50
154.151284 1545.667978 50
1033.267912 2020.998000 50
1036.732088 1521.002000 50
1014.667575 1485.678423 50
106.332425 1702.321577 50
793.938175 2229.692254 50
736.061825 1286.307746 50
1044.025182 2001.695824 50
1002.974818 1469.304176 50
1098.447489 1708.503019 50
838.552511 1327.496981 50
620.225192 2267.667732 50
917.774808 1380.332268 50
1093.288622 1675.072661 50
291.711378 1375.927339 50
1035.388494 2017.347976 50
642.611506 1269.652024 50
1052.393511 1985.130573 50
1090.606489 1661.869427 50
1082.210190 1907.277327 50
951.789810 1410.722673 50
877.947350 1351.043095 50
352.052650 1334.956905 50
893.103591 2174.520233 50
1040.896409 1528.479767 50
971.652787 2104.685042 50
341.347213 1341.314958 50
463.602936 2248.464622 50
1010.397064 1479.535378 50
534.133157 1272.627321 50
459.866843 2247.372679 50
1027.642504 2030.351784 50
880.357496 1352.648216 50
817.815334 1316.974788 50
259.184666 1404.025212 50
1067.694683 1585.987741 50
679.305317 1274.012259 50
507.510461 1277.009443 50
123.489539 1622.990557 50
714.120815 2255.266788 50
994.879185 1458.733212 50
1058.657593 1564.373276 50
424.342407 1300.626724 50
815.993029 2219.892668 50
964.006971 1423.107332 50
1101.772074 1752.904497 50
592.227926 1268.095503 50
1094.905920 1851.927074 50
845.094080 1331.072926 50
648.000000 1078.000000 50
1051.409829 1373.398899 50
825.590171 610.601101 50
1138.436608 980.676139 50
207.563392 841.323861 50
1101.694463 867.854016 50
874.305537 632.145984 50
389.340415 1505.896271 50
1123.659585 1232.103729 50
767.976837 1563.392170 50
1126.023163 1224.607830 50
148.966658 1046.923902 50
829.033342 1544.076098 50
473.697990 609.364951 50
201.302010 1302.635049 50
881.423252 635.830818 50
206.576748 843.169182 50
812.841136 1550.045972 50
1058.158864 1363.954028 50
1108.673747 1272.370005 50
1129.326253 942.629995 50
1019.254913 743.082414 50
151.745087 1016.917586 50
1093.389989 850.782577 50
500.610011 600.217423 50
397.852169 645.072682 50
378.147831 1498.927318 50
1125.319303 1226.883454 50
1119.680697 912.116546 50
1001.520156 1431.586622 50
328.479844 693.413378 50
1131.836915 1204.102499 50
784.163085 596.897501 50
200.437966 855.091441 50
657.562034 1577.908559 50
1144.095140 1015.633243 50
928.904860 664.366757 50
198.969595 1297.935662 50
777.030405 1561.064338 50
1128.389871 939.343691 50
673.610129 578.656309 50
518.884682 1561.041649 50
998.115318 1434.958351 50
148.125663 1089.209266 50
1070.874337 1344.790734 50
647.751864 578.000062 50
273.248136 746.999938 50
550.741741 587.550379 50
149.258259 1113.449621 50
313.261889 1449.416743 50
1069.738111 1346.583257 50
983.122783 1449.069697 50
1068.877217 1347.930303 50
1147.502887 1100.290486 50
783.497113 596.709514 50
253.687027 1385.436626 50
433.312973 1529.563374 50
742.000000 1569.084514 50
742.000000 586.915486 50
1088.325267 841.116781 50
153.674733 1002.883219 50
348.076644 1478.057472 50
920.923356 1496.942528 50
531.315838 1564.194206 50
1132.684162 1200.805794 50
272.533807 1408.189548 50
903.466193 1507.810452 50
1113.382945 895.192137 50
890.617055 640.807863 50
153.948839 1001.101036 50
658.051161 1577.898964 50
915.687594 1500.307177 50
674.312406 578.692823 50
167.585181 939.430155 50
858.414819 1531.569845 50
1028.819477 753.999189 50
190.180523 1279.000811 50
915.307295 655.452002 50
185.692705 887.547998 50
990.739383 1442.046309 50
1115.260617 1255.953691 50
691.684972 579.912033 50
324.315028 1459.087967 50
1120.902373 1240.367933 50
863.097627 626.632067 50
